source_url,http_head_status,final_url
https://www.onskillit.com/programs-02/,404,https://www.onskillit.com/programs-02/
https://www.onskillit.com/shop-2/,404,https://www.onskillit.com/shop-2/
https://www.onskillit.com/team-grid-02/,404,https://www.onskillit.com/team-grid-02/
https://www.onskillit.com/team-single/,404,https://www.onskillit.com/team-single/
https://www.onskillit.com/term-conditions/,404,https://www.onskillit.com/term-conditions/
https://www.onskillit.com/tut-advanced-course-filter/,404,https://www.onskillit.com/tut-advanced-course-filter/
https://www.onskillit.com/tut-course-grid-01/,404,https://www.onskillit.com/tut-course-grid-01/
https://www.onskillit.com/tut-course-grid-02/,404,https://www.onskillit.com/tut-course-grid-02/
https://www.onskillit.com/tut-course-grid-03/,404,https://www.onskillit.com/tut-course-grid-03/
https://www.onskillit.com/tut-course-grid-04/,404,https://www.onskillit.com/tut-course-grid-04/
https://www.onskillit.com/tut-course-grid-05/,404,https://www.onskillit.com/tut-course-grid-05/
https://www.onskillit.com/tut-course-grid-06/,404,https://www.onskillit.com/tut-course-grid-06/
https://www.onskillit.com/tut-course-grid-layout/,404,https://www.onskillit.com/tut-course-grid-layout/
https://www.onskillit.com/tut-filter-category/,404,https://www.onskillit.com/tut-filter-category/
https://www.onskillit.com/tut-filter-left-sidebar/,404,https://www.onskillit.com/tut-filter-left-sidebar/
https://www.onskillit.com/tut-filter-right-sidebar/,404,https://www.onskillit.com/tut-filter-right-sidebar/
https://www.onskillit.com/wpem-event-grid/,404,https://www.onskillit.com/wpem-event-grid/
https://www.onskillit.com/zoom-meetings/exploring-opportunities-in-global-education/,404,https://www.onskillit.com/zoom-meetings/exploring-opportunities-in-global-education/
